EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;MANAGER_ID;DEPARTMENT_ID
198;Donald;OConnell;DOCONNEL;6505079833;21/6/2007;SH_CLERK;2600;124;50
199;Douglas;Grant;DGRANT;6505079844;13/1/2008;SH_CLERK;2600;124;50
200;Jennifer;Whalen;JWHALEN;5151234444;17/9/2003;AD_ASST;4400;101;10
201;Michael;Hartstein;MHARTSTE;5151235555;17/2/2004;MK_MAN;13000;100;20
202;Pat;Fay;PFAY;6031236666;17/8/2005;MK_REP;6000;201;20
203;Susan;Mavris;SMAVRIS;5151237777;7/6/2002;HR_REP;6500;101;40
204;Hermann;Baer;HBAER;5151238888;7/6/2002;PR_REP;10000;101;70
205;Shelley;Higgins;SHIGGINS;5151238080;7/6/2002;AC_MGR;12008;101;110
206;William;Gietz;WGIETZ;5151238181;7/6/2002;AC_ACCOUNT;8300;205;110
100;Steven;King;SKING;5151234567;17/6/2003;AD_PRES;24000;0;90
101;Neena;Kochhar;NKOCHHAR;5151234568;21/9/2005;AD_VP;17000;100;90
102;Lex;De Haan;LDEHAAN;5151234569;13/1/2001;AD_VP;17000;100;90
103;Alexander;Hunold;AHUNOLD;5904234567;3/1/2006;IT_PROG;9000;102;60
104;Bruce;Ernst;BERNST;5904234568;21/5/2007;IT_PROG;6000;103;60
105;David;Austin;DAUSTIN;5904234569;25/6/2005;IT_PROG;4800;103;60
106;Valli;Pataballa;VPATABAL;5904234560;5/2/2006;IT_PROG;4800;103;60
107;Diana;Lorentz;DLORENTZ;5904235567;7/2/2007;IT_PROG;4200;103;60
108;Nancy;Greenberg;NGREENBE;5151244569;17/8/2002;FI_MGR;12008;101;100
109;Daniel;Faviet;DFAVIET;5151244169;16/8/2002;FI_ACCOUNT;9000;108;100
110;John;Chen;JCHEN;5151244269;28/9/2005;FI_ACCOUNT;8200;108;100
111;Ismael;Sciarra;ISCIARRA;5151244369;30/9/2005;FI_ACCOUNT;7700;108;100
112;Jose Manuel;Urman;JMURMAN;5151244469;7/3/2006;FI_ACCOUNT;7800;108;100
113;Luis;Popp;LPOPP;5151244567;7/12/2007;FI_ACCOUNT;6900;108;100
114;Den;Raphaely;DRAPHEAL;5151274561;7/12/2002;PU_MAN;11000;100;30
115;Alexander;Khoo;AKHOO;5151274562;18/5/2003;PU_CLERK;3100;114;30
116;Shelli;Baida;SBAIDA;5151274563;24/12/2005;PU_CLERK;2900;114;30
117;Sigal;Tobias;STOBIAS;5151274564;24/7/2005;PU_CLERK;2800;114;30
118;Guy;Himuro;GHIMURO;5151274565;15/11/2006;PU_CLERK;2600;114;30
119;Karen;Colmenares;KCOLMENA;5151274566;10/8/2007;PU_CLERK;2500;114;30
120;Matthew;Weiss;MWEISS;6501231234;18/7/2004;ST_MAN;8000;100;50
121;Adam;Fripp;AFRIPP;6501232234;10/4/2005;ST_MAN;8200;100;50
122;Payam;Kaufling;PKAUFLIN;6501233234;1/5/2003;ST_MAN;7900;100;50
123;Shanta;Vollman;SVOLLMAN;6501234234;10/10/2005;ST_MAN;6500;100;50
124;Kevin;Mourgos;KMOURGOS;6501235234;16/11/2007;ST_MAN;5800;100;50
125;Julia;Nayer;JNAYER;6501241214;16/7/2005;ST_CLERK;3200;120;50
126;Irene;Mikkilineni;IMIKKILI;6501241224;28/9/2006;ST_CLERK;2700;120;50
127;James;Landry;JLANDRY;6501241334;14/1/2007;ST_CLERK;2400;120;50
128;Steven;Markle;SMARKLE;6501241434;8/3/2008;ST_CLERK;2200;120;50
129;Laura;Bissot;LBISSOT;6501245234;20/8/2005;ST_CLERK;3300;121;50
130;Mozhe;Atkinson;MATKINSO;6501246234;30/10/2005;ST_CLERK;2800;121;50
131;James;Marlow;JAMRLOW;6501247234;16/2/2005;ST_CLERK;2500;121;50
132;TJ;Olson;TJOLSON;6501248234;10/4/2007;ST_CLERK;2100;121;50
133;Jason;Mallin;JMALLIN;6501271934;14/6/2004;ST_CLERK;3300;122;50
134;Michael;Rogers;MROGERS;6501271834;26/8/2006;ST_CLERK;2900;122;50
135;Ki;Gee;KGEE;6501271734;12/12/2007;ST_CLERK;2400;122;50
136;Hazel;Philtanker;HPHILTAN;6501271634;6/2/2008;ST_CLERK;2200;122;50
137;Renske;Ladwig;RLADWIG;6501211234;14/7/2003;ST_CLERK;3600;123;50
138;Stephen;Stiles;SSTILES;6501212034;26/10/2005;ST_CLERK;3200;123;50
139;John;Seo;JSEO;6501212019;12/2/2006;ST_CLERK;2700;123;50
140;Joshua;Patel;JPATEL;6501211834;6/4/2006;ST_CLERK;2500;123;50
