EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
198,7,34,8,6505079833,26,SH_CLERK,0,3,50
199,8,14,6,6505079844,8,SH_CLERK,0,3,50
200,16,49,23,5151234444,21,AD_ASST,0,2,10
201,28,16,31,5151235555,17,MK_MAN,2,2,20
202,32,10,36,6031236666,20,MK_REP,1,5,20
203,41,30,43,5151237777,45,HR_REP,1,2,40
204,11,2,11,5151238888,45,PR_REP,2,2,70
205,36,17,40,5151238080,45,AC_MGR,2,2,110
206,44,13,49,5151238181,45,AC_ACCOUNT,1,5,110
100,40,22,41,5151234567,18,AD_PRES,5,0,90
101,31,23,35,5151234568,27,AD_VP,4,2,90
102,25,7,28,5151234569,7,AD_VP,4,2,90
103,1,19,1,5904234567,35,IT_PROG,1,2,60
104,2,8,3,5904234568,25,IT_PROG,1,3,60
105,4,1,4,5904234569,30,IT_PROG,0,3,60
106,43,36,48,5904234560,38,IT_PROG,0,3,60
107,6,26,7,5904235567,43,IT_PROG,0,3,60
108,30,15,34,5151244569,19,FI_MGR,2,2,100
109,3,9,5,5151244169,16,FI_ACCOUNT,1,3,100
110,17,5,16,5151244269,33,FI_ACCOUNT,1,3,100
111,13,42,14,5151244369,37,FI_ACCOUNT,1,3,100
112,18,46,19,5151244469,44,FI_ACCOUNT,1,3,100
113,26,39,29,5151244567,42,FI_ACCOUNT,1,3,100
114,5,40,9,5151274561,41,PU_MAN,2,2,30
115,1,21,2,5151274562,22,PU_CLERK,0,3,30
116,37,3,39,5151274563,28,PU_CLERK,0,3,30
117,38,45,45,5151274564,29,PU_CLERK,0,3,30
118,9,18,10,5151274565,12,PU_CLERK,0,3,30
119,21,6,24,5151274566,4,PU_CLERK,0,3,30
120,27,48,33,6501231234,23,ST_MAN,1,2,50
121,0,11,0,6501232234,2,ST_MAN,1,2,50
122,33,20,37,6501233234,0,ST_MAN,1,2,50
123,35,47,46,6501234234,1,ST_MAN,1,2,50
124,22,32,26,6501235234,13,ST_MAN,1,2,50
125,20,33,20,6501241214,15,ST_CLERK,0,3,50
126,12,31,13,6501241224,34,ST_CLERK,0,3,50
127,14,25,17,6501241334,9,ST_CLERK,0,3,50
128,40,28,42,6501241434,46,ST_CLERK,0,3,50
129,24,4,27,6501245234,24,ST_CLERK,0,3,50
130,29,0,30,6501246234,36,ST_CLERK,0,3,50
131,14,29,15,6501247234,14,ST_CLERK,0,3,50
132,42,35,47,6501248234,3,ST_CLERK,0,3,50
133,15,27,18,6501271934,10,ST_CLERK,0,3,50
134,28,41,32,6501271834,32,ST_CLERK,0,3,50
135,23,12,25,6501271734,5,ST_CLERK,0,3,50
136,10,38,12,6501271634,39,ST_CLERK,0,3,50
137,34,24,38,6501211234,11,ST_CLERK,0,3,50
138,39,44,44,6501212034,31,ST_CLERK,0,3,50
139,17,43,22,6501212019,6,ST_CLERK,0,3,50
140,19,37,21,6501211834,40,ST_CLERK,0,3,50
